"round","pid","action","group_size","previous_decision","num_neighbors"
1,1,1,20,,5
1,2,0,20,,10
1,3,0,20,,7
1,4,1,20,,7
1,5,0,20,,10
1,6,1,20,,12
1,7,1,20,,12
1,8,1,20,,10
1,9,1,20,,10
1,10,1,20,,5
1,11,1,20,,7
1,12,1,20,,11
1,13,1,20,,8
1,14,0,20,,6
1,15,0,20,,7
1,16,1,20,,11
1,17,1,20,,6
1,18,0,20,,12
1,19,1,20,,11
1,20,1,20,,5
2,1,1,20,1,9
2,2,1,20,0,12
2,3,1,20,0,10
2,4,0,20,1,9
2,5,0,20,0,12
2,6,1,20,1,15
2,7,1,20,1,13
2,8,0,20,1,9
2,9,0,20,1,12
2,10,0,20,1,12
2,11,1,20,1,9
2,12,1,20,1,14
2,13,1,20,1,14
2,14,1,20,0,12
2,15,1,20,0,11
2,16,1,20,1,11
2,17,0,20,1,8
2,18,0,20,0,12
2,19,0,20,1,10
2,20,0,20,1,10
3,1,1,20,1,10
3,2,0,20,1,15
3,3,1,20,1,15
3,4,0,20,0,14
3,5,1,20,0,11
3,6,0,20,1,14
3,7,0,20,1,13
3,8,0,20,0,12
3,9,1,20,0,14
3,10,0,20,0,14
3,11,0,20,1,12
3,12,0,20,1,16
3,13,0,20,1,14
3,14,1,20,1,10
3,15,1,20,1,13
3,16,0,20,1,15
3,17,0,20,0,10
3,18,1,20,0,13
3,19,0,20,0,10
3,20,1,20,0,11
4,1,0,20,1,10
4,2,1,20,0,16
4,3,1,20,1,17
4,4,1,20,0,14
4,5,1,20,1,13
4,6,0,20,0,15
4,7,0,20,0,13
4,8,1,20,0,13
4,9,0,20,1,16
4,10,0,20,0,13
4,11,0,20,0,11
4,12,0,20,0,14
4,13,0,20,0,15
4,14,1,20,1,14
4,15,1,20,1,14
4,16,0,20,0,15
4,17,0,20,0,13
4,18,1,20,1,12
4,19,0,20,0,10
4,20,1,20,1,12
5,1,0,20,0,11
5,2,1,20,1,11
5,3,1,20,1,16
5,4,1,20,1,12
5,5,0,20,1,14
5,6,0,20,0,14
5,7,1,20,0,14
5,8,1,20,1,14
5,9,0,20,0,14
5,10,0,20,0,10
5,11,1,20,0,11
5,12,1,20,0,13
5,13,1,20,0,12
5,14,1,20,1,11
5,15,1,20,1,11
5,16,0,20,0,16
5,17,1,20,0,14
5,18,0,20,1,12
5,19,0,20,0,11
5,20,0,20,1,9
6,1,1,20,0,17
6,2,0,20,1,15
6,3,0,20,1,18
6,4,1,20,1,14
6,5,1,20,0,15
6,6,1,20,0,15
6,7,0,20,1,14
6,8,0,20,1,16
6,9,1,20,0,17
6,10,1,20,0,13
6,11,0,20,1,15
6,12,1,20,1,14
6,13,1,20,1,13
6,14,1,20,1,10
6,15,1,20,1,12
6,16,0,20,0,15
6,17,1,20,1,17
6,18,0,20,0,13
6,19,1,20,0,14
6,20,1,20,0,13
7,1,1,20,1,15
7,2,0,20,0,14
7,3,1,20,0,16
7,4,0,20,1,18
7,5,1,20,1,13
7,6,1,20,1,14
7,7,1,20,0,14
7,8,0,20,0,13
7,9,0,20,1,15
7,10,0,20,1,15
7,11,0,20,0,15
7,12,0,20,1,16
7,13,1,20,1,13
7,14,1,20,1,12
7,15,1,20,1,13
7,16,1,20,0,17
7,17,1,20,1,16
7,18,0,20,0,15
7,19,1,20,1,16
7,20,1,20,1,14
8,1,0,20,1,15
8,2,1,20,0,16
8,3,1,20,1,14
8,4,1,20,0,18
8,5,1,20,1,15
8,6,1,20,1,12
8,7,1,20,1,13
8,8,1,20,0,15
8,9,1,20,0,16
8,10,1,20,0,13
8,11,0,20,0,17
8,12,1,20,0,15
8,13,1,20,1,14
8,14,0,20,1,14
8,15,0,20,1,13
8,16,1,20,1,14
8,17,1,20,1,17
8,18,0,20,0,15
8,19,1,20,1,19
8,20,1,20,1,15
9,1,0,20,0,15
9,2,1,20,1,17
9,3,1,20,1,14
9,4,0,20,1,17
9,5,0,20,1,16
9,6,0,20,1,14
9,7,1,20,1,15
9,8,1,20,1,16
9,9,1,20,1,15
9,10,1,20,1,17
9,11,1,20,0,17
9,12,1,20,1,15
9,13,0,20,1,13
9,14,1,20,0,15
9,15,1,20,0,15
9,16,1,20,1,15
9,17,1,20,1,15
9,18,0,20,0,15
9,19,1,20,1,19
9,20,1,20,1,15
10,1,0,20,0,16
10,2,0,20,1,17
10,3,0,20,1,15
10,4,1,20,0,16
10,5,1,20,0,16
10,6,0,20,0,14
10,7,1,20,1,17
10,8,1,20,1,16
10,9,0,20,1,14
10,10,0,20,1,14
10,11,0,20,1,16
10,12,0,20,1,16
10,13,1,20,0,16
10,14,0,20,1,16
10,15,1,20,1,17
10,16,0,20,1,16
10,17,1,20,1,13
10,18,1,20,0,13
10,19,1,20,1,16
10,20,1,20,1,14
11,1,0,20,0,15
11,2,0,20,0,17
11,3,1,20,0,13
11,4,0,20,1,16
11,5,0,20,1,15
11,6,0,20,0,15
11,7,0,20,1,17
11,8,1,20,1,13
11,9,1,20,0,15
11,10,0,20,0,14
11,11,0,20,0,13
11,12,1,20,0,15
11,13,0,20,1,15
11,14,1,20,0,15
11,15,0,20,1,13
11,16,1,20,0,17
11,17,0,20,1,16
11,18,1,20,1,14
11,19,0,20,1,12
11,20,0,20,1,16
12,1,0,20,0,15
12,2,1,20,0,17
12,3,0,20,1,17
12,4,1,20,0,17
12,5,0,20,0,15
12,6,1,20,0,15
12,7,1,20,0,15
12,8,0,20,1,15
12,9,1,20,1,14
12,10,1,20,0,13
12,11,1,20,0,14
12,12,0,20,1,15
12,13,0,20,0,15
12,14,1,20,1,12
12,15,0,20,0,14
12,16,1,20,1,18
12,17,0,20,0,14
12,18,0,20,1,13
12,19,0,20,0,14
12,20,0,20,0,16
13,1,0,20,0,17
13,2,1,20,1,16
13,3,0,20,0,14
13,4,1,20,1,12
13,5,1,20,0,14
13,6,1,20,1,17
13,7,0,20,1,14
13,8,0,20,0,15
13,9,0,20,1,15
13,10,0,20,1,15
13,11,1,20,1,10
13,12,0,20,0,14
13,13,1,20,0,14
13,14,1,20,1,15
13,15,1,20,0,14
13,16,1,20,1,16
13,17,1,20,0,15
13,18,1,20,0,15
13,19,1,20,0,14
13,20,0,20,0,18
14,1,1,20,0,15
14,2,0,20,1,15
14,3,0,20,0,14
14,4,0,20,1,13
14,5,0,20,1,15
14,6,1,20,1,19
14,7,1,20,0,16
14,8,0,20,0,14
14,9,1,20,0,15
14,10,0,20,0,15
14,11,1,20,1,15
14,12,0,20,0,14
14,13,1,20,1,15
14,14,1,20,1,19
14,15,1,20,1,16
14,16,1,20,1,17
14,17,1,20,1,16
14,18,1,20,1,15
14,19,0,20,1,14
14,20,0,20,0,16
15,1,0,20,1,15
15,2,0,20,0,17
15,3,1,20,0,16
15,4,1,20,0,13
15,5,0,20,0,16
15,6,1,20,1,16
15,7,0,20,1,12
15,8,0,20,0,14
15,9,0,20,1,13
15,10,0,20,0,13
15,11,0,20,1,13
15,12,0,20,0,15
15,13,0,20,1,15
15,14,1,20,1,17
15,15,1,20,1,17
15,16,1,20,1,15
15,17,0,20,1,14
15,18,0,20,1,14
15,19,1,20,0,14
15,20,1,20,0,13
