"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"0fr0kaXH",1,3,0,"3","Biased-4","e2.2_2017-08-24",1,1,1,"4210169883_78419_01"
"0fr0kaXH",1,1,0,"3","Biased-4","e2.2_2017-08-24",0,1,1,"4210169883_78419_01"
"0Fsj77FY",1,0,1,"0","Biased-4","e2.1_2017-08-24",1,1,1,"029738_S01_HH"
"0Fsj77FY",1,3,0,"0","Biased-4","e2.1_2017-08-24",0,1,1,"029738_S01_HH"
"0hhJBCnW",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"165752_3992_01"
"0hhJBCnW",1,0,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"165752_3992_01"
"0hhJBCnW",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"165752_3992_01"
"0Q2BEZAa",1,0,0,"1","Biased-2","e2.3_2017-09-06",0,1,0,"4175677220_92326_01"
"0Q2BEZAa",1,1,0,"1","Biased-2","e2.3_2017-09-06",1,1,0,"4175677220_92326_01"
"1dSNXUdN",1,2,0,"1","Biased-4","e2.4_2017-08-21",0,1,1,"4173097852_78419_01"
"1dSNXUdN",1,1,1,"1","Biased-4","e2.4_2017-08-21",1,1,1,"4173097852_78419_01"
"1hg7Y7P5",1,2,1,"0","Biased-4","e2.1_2017-08-27",0,1,1,"4205987458_78419_01"
"1I97cDCu",1,2,1,"3","Biased-4","e2.1_2017-09-01",0,1,1,"1708246037_78419_01"
"1I97cDCu",1,0,1,"3","Biased-4","e2.1_2017-09-01",0,1,1,"1708246037_78419_01"
"1I97cDCu",1,3,1,"3","Biased-4","e2.1_2017-09-01",1,1,1,"1708246037_78419_01"
"1NYc3ypZ",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"089635_S02_02"
"1NYc3ypZ",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"1NYc3ypZ",1,3,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"1NYc3ypZ",1,0,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"2eCW1FlE",1,1,1,"1","Biased-2","e2.3_2017-08-31",1,1,0,"4142230532_78419_01"
"2eCW1FlE",1,0,1,"1","Biased-2","e2.3_2017-08-31",0,1,0,"4142230532_78419_01"
"2KfKBFI1",1,1,1,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"4224808964_78419_01"
"2KfKBFI1",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"4224808964_78419_01"
"2n8fFNoM",1,2,1,"2","Biased-4","e2.1_2017-09-03",1,1,1,"4205995801_78419_01"
"2n8fFNoM",1,3,0,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4205995801_78419_01"
"2OuLp0f2",1,0,0,"1","Biased-2","e2.3_2017-09-06",0,1,0,"4141910110_78419_01"
"2OuLp0f2",1,1,1,"1","Biased-2","e2.3_2017-09-06",1,1,0,"4141910110_78419_01"
"2QsvgjjE",1,1,0,"0","Biased-2","e2.4_2017-08-27",0,1,0,"4174331532_78419_01"
"2QsvgjjE",1,0,1,"0","Biased-2","e2.4_2017-08-27",1,1,0,"4174331532_78419_01"
"2UIMidzg",1,2,0,"2","Biased-4","e2.1_2017-09-03",1,1,1,"4198750331_78419_01"
"2UIMidzg",1,1,1,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4198750331_78419_01"
"2UIMidzg",1,3,1,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4198750331_78419_01"
"2XmZPU4o",1,3,1,"3","Biased-4","e2.2_2017-08-24",1,1,1,"158212_3992_01"
"2XmZPU4o",1,0,1,"3","Biased-4","e2.2_2017-08-24",0,1,1,"158212_3992_01"
"3ClMwfdr",1,0,1,"1","Biased-2","e2.4_2017-09-01",0,1,0,"036403_S01_01"
"3ClMwfdr",1,1,1,"1","Biased-2","e2.4_2017-09-01",1,1,0,"036403_S01_01"
"3j95iGEm",1,2,1,"1","Biased-4","e2.1_2017-08-28",0,1,1,"4224776595_78419_01"
"3j95iGEm",1,1,1,"1","Biased-4","e2.1_2017-08-28",1,1,1,"4224776595_78419_01"
"3x8dNpDD",1,2,1,"2","Biased-4","e2.1_2017-08-24",1,1,1,"4142223226_78419_01"
"3x8dNpDD",1,3,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4142223226_78419_01"
"3x8dNpDD",1,0,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4142223226_78419_01"
"44b4OLuC",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"4198747815_78419_01"
"44b4OLuC",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"4198747815_78419_01"
"44b4OLuC",1,3,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"4198747815_78419_01"
"49Jqer6s",1,3,1,"3","Biased-4","e2.1_2017-08-24",1,1,1,"004346_S01_HH"
"49Jqer6s",1,2,1,"3","Biased-4","e2.1_2017-08-24",0,1,1,"004346_S01_HH"
