"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"0fr0kaXH",1,3,0,"3","Biased-4","e2.2_2017-08-24",1,1,1,"4210169883_78419_01"
"0fr0kaXH",1,1,0,"3","Biased-4","e2.2_2017-08-24",0,1,1,"4210169883_78419_01"
"0Fsj77FY",1,0,1,"0","Biased-4","e2.1_2017-08-24",1,1,1,"029738_S01_HH"
"0Fsj77FY",1,3,0,"0","Biased-4","e2.1_2017-08-24",0,1,1,"029738_S01_HH"
"0hhJBCnW",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"165752_3992_01"
"0hhJBCnW",1,0,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"165752_3992_01"
"0hhJBCnW",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"165752_3992_01"
"0Q2BEZAa",1,0,0,"1","Biased-2","e2.3_2017-09-06",0,1,0,"4175677220_92326_01"
"0Q2BEZAa",1,1,0,"1","Biased-2","e2.3_2017-09-06",1,1,0,"4175677220_92326_01"
"0QG7hc6v",1,0,0,"1","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"4141912316_78419_01"
"0QG7hc6v",1,1,1,"1","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"4141912316_78419_01"
"0uZQi5sg",1,0,1,"1","Unbiased-4","experiment-2.5-unbiased-4-03_10605.csv",0,0,1,"4182992791_78419_01"
"0uZQi5sg",1,1,1,"1","Unbiased-4","experiment-2.5-unbiased-4-03_10605.csv",1,0,1,"4182992791_78419_01"
"0yzCgrEd",1,1,1,"1","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"085925_S02_01"
"0yzCgrEd",1,0,1,"1","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"085925_S02_01"
"16hkBHE1",1,0,1,"0","Unbiased-2","experiment-2.6-unbiased-02-05_10663.csv",1,0,0,"4198730040_78419_01"
"16hkBHE1",1,1,1,"0","Unbiased-2","experiment-2.6-unbiased-02-05_10663.csv",0,0,0,"4198730040_78419_01"
"1dSNXUdN",1,2,0,"1","Biased-4","e2.4_2017-08-21",0,1,1,"4173097852_78419_01"
"1dSNXUdN",1,1,1,"1","Biased-4","e2.4_2017-08-21",1,1,1,"4173097852_78419_01"
"1I97cDCu",1,2,1,"3","Biased-4","e2.1_2017-09-01",0,1,1,"1708246037_78419_01"
"1I97cDCu",1,0,1,"3","Biased-4","e2.1_2017-09-01",0,1,1,"1708246037_78419_01"
"1I97cDCu",1,3,1,"3","Biased-4","e2.1_2017-09-01",1,1,1,"1708246037_78419_01"
"1Ls6uYnA",1,1,0,"0","Unbiased-2","experiment-2.6-unbiased-02-05_10663.csv",0,0,0,"4182929292_78419_01"
"1Ls6uYnA",1,0,1,"0","Unbiased-2","experiment-2.6-unbiased-02-05_10663.csv",1,0,0,"4182929292_78419_01"
"1NYc3ypZ",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"089635_S02_02"
"1NYc3ypZ",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"1NYc3ypZ",1,3,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"1NYc3ypZ",1,0,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"089635_S02_02"
"1v5KsKaU",1,1,1,"0","Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"4210174390_78419_01"
"1v5KsKaU",1,0,1,"0","Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",1,0,0,"4210174390_78419_01"
"1vYPdjdX",1,1,1,"0","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"4083370152_78914_01"
"1vYPdjdX",1,0,1,"0","Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"4083370152_78914_01"
"2CR6vFVs",1,1,1,"1","Unbiased-2","e2.6_2017-09-21",1,0,0,"4210186321_78419_01"
"2CR6vFVs",1,0,0,"1","Unbiased-2","e2.6_2017-09-21",0,0,0,"4210186321_78419_01"
"2eCW1FlE",1,1,1,"1","Biased-2","e2.3_2017-08-31",1,1,0,"4142230532_78419_01"
"2eCW1FlE",1,0,1,"1","Biased-2","e2.3_2017-08-31",0,1,0,"4142230532_78419_01"
"2Jq2iaa0",1,0,1,"1","Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4182985182_78419_01"
"2Jq2iaa0",1,1,1,"1","Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"4182985182_78419_01"
"2KfKBFI1",1,1,1,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"4224808964_78419_01"
"2KfKBFI1",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"4224808964_78419_01"
"2n8fFNoM",1,2,1,"2","Biased-4","e2.1_2017-09-03",1,1,1,"4205995801_78419_01"
"2n8fFNoM",1,3,0,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4205995801_78419_01"
