"matchid","round","h1.1","h1.3","h2.1","h2.2","h2.3","h2.4","h2.5","h2.6","h3.2","h3.3","h3.4","h3.5","tools","innovation","CSE","leaderChoice","nConnected","h3.1","date/time","replay","consumableKey","settingsNum"
"1072","1","0","0","1",NA,NA,NA,NA,NA,"1","9","1","0","9",NA,"2.85","TNTbarrel","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","2","0","0","1",NA,NA,NA,NA,NA,"1","9","1","1","12",NA,"2.85","SatchelCharge","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","3","0","0","1","0","0","1",NA,NA,"1","9","1","1","1","0","2.85","TNTbarrel","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","4","0","1","1","0","0","1",NA,NA,"1","9","1","1","1","0","2.85","TNTbarrel","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","5","0","2","1","0","0","1",NA,NA,"1","9","1","1","1","0","2.85","TNTbarrel","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","6","0","0","1",NA,"1",NA,NA,NA,"1","9","1","2","3","1","2.85","RDX","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","7","0","2","1","1",NA,NA,NA,NA,"1","9","1","1","2","0","2.85","BlackPowder","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","8","0","0","1",NA,NA,NA,NA,NA,"1","9","1","2","11",NA,"2.85","SatchelCharge","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","9","0","1","1",NA,NA,"0",NA,NA,"1","9","1","1","4","0","2.85","Dynamite","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","10","0","0","1",NA,NA,NA,"0",NA,"1","9","1","1","5","0","2.85","Mine1","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","11","0","0","1",NA,NA,NA,NA,"0","1","9","1","1","7","1","2.85","Mine1","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","12","0","0","1",NA,NA,NA,"1",NA,"1","9","1","1","6","1","2.85","Mine4","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1072","13","0","0","1",NA,NA,NA,NA,"1","1","9","1","1","8","1","2.85","Mine4","4",1,"2018-11-14 20:05:04","False","prod_high_0_firsttime","1"
"1075","1","0","0","1",NA,"1",NA,NA,NA,"1","9","0","0","3","0","3.8","BlackPowder","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","2","0","0","1","0","0","1",NA,NA,"1","9","0","1","1","1","3.8","SatchelCharge","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","3","0","0","1",NA,NA,NA,NA,NA,"1","9","0","1","11",NA,"3.8","SatchelCharge","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","4","0","1","1",NA,NA,NA,NA,NA,"1","9","0","1","9",NA,"3.8","Dynamite","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","5","0","2","1","1",NA,NA,NA,NA,"1","9","0","1","2","1","3.8","Dynamite","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","6","0","0","1",NA,NA,"0",NA,NA,"1","9","0","2","4","0","3.8","Dynamite","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","7","0","2","1","0","0","1",NA,NA,"1","9","0","1","1","0","3.8","TNTbarrel","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","8","0","0","1",NA,NA,NA,NA,NA,"1","9","0","2","12",NA,"3.8","SatchelCharge","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","9","0","1","1","0","0","1",NA,NA,"1","9","0","1","1","0","3.8","TNTbarrel","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","10","0","0","1",NA,NA,NA,"0",NA,"1","9","0","1","5","0","3.8","Mine1","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","11","0","0","1",NA,NA,NA,NA,"0","1","9","0","1","7","0","3.8","BlackPowder","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","12","0","0","1",NA,NA,NA,"1",NA,"1","9","0","1","6","0","3.8","Mine3","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1075","13","0","0","1",NA,NA,NA,NA,"1","1","9","0","1","8","0","3.8","BlackPowder","3",1,"2018-11-14 10:07:37","False","prod_high_0_firsttime","2"
"1076","1","0","0","1",NA,NA,NA,NA,NA,"1","9","0","0","12",NA,"3.46666666666667","SatchelCharge","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","2","0","0","1","0","0","1",NA,NA,"1","9","0","1","1","1","3.46666666666667","SatchelCharge","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","3","0","0","1",NA,NA,NA,NA,NA,"1","9","0","1","9",NA,"3.46666666666667","TNTbarrel","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","4","0","1","1","0","0","1",NA,NA,"1","9","0","1","1","0","3.46666666666667","TNTbarrel","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","5","0","2","1","1",NA,NA,NA,NA,"1","9","0","1","2","0","3.46666666666667","BlackPowder","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","6","0","0","1",NA,"1",NA,NA,NA,"1","9","0","2","3","1","3.46666666666667","RDX","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","7","0","2","1",NA,NA,"0",NA,NA,"1","9","0","1","4","0","3.46666666666667","Dynamite","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","8","0","0","1","0","0","1",NA,NA,"1","9","0","2","1","0","3.46666666666667","TNTbarrel","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
"1076","9","0","1","1",NA,NA,NA,NA,NA,"1","9","0","1","11",NA,"3.46666666666667","SatchelCharge","5",1,"2018-11-14 20:04:21","False","prod_high_0_firsttime","2"
