Group.1,settingsNum,roundid,matchid,matchDate,competition,timeUncertainty,support,nRound,nConnected,chat_per_round,tools,innovation,inmot1,inmot2,tolerance,framing,round,group,pressure,toolsCPT,toolsEUT,toolsPT,toolsCPTEXP,risk,prb,structureHie,structureCel,structureNet,centralization,leaderWeight,compStrong,complexity,density,playernum,grmot1,grmot2,conformity,nPlayers,unanimity,unanimous
1333401,1,1333401,13334,18479,0,1,0,13,7,0,11,NA,NaN,NaN,0,0,1,13334,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,NA,NA,NA,7,0.857142857,NA
1333402,1,1333402,13334,18479,0,1,0,13,7,0,3,-1,0.142857143,0.142857143,0,2,2,13334,1,2,1,2,2,0.06,1.39,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,0.142857143,0.142857143,0.142857143,7,0.857142857,0
1333403,1,1333403,13334,18479,0,1,0,13,7,0,1,-1,0.142857143,0.142857143,0,1,3,13334,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,0.142857143,0.142857143,0.142857143,7,0.857142857,0
1333404,1,1333404,13334,18479,0,1,0,13,7,1,2,-1,0.142857143,0,0,0,4,13334,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,0.142857143,0,0.142857143,7,0.857142857,0
1333405,1,1333405,13334,18479,0,1,0,13,7,0,12,NA,NaN,NaN,0,1,5,13334,2,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,NA,NA,NA,7,0.857142857,NA
1333406,1,1333406,13334,18479,0,1,0,13,7,0,1,-1,0.285714286,0,0,2,6,13334,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,0.285714286,0,0.285714286,7,0.857142857,0
1333407,1,1333407,13334,18479,0,1,0,13,7,0,10,NA,NaN,NaN,0,0,7,13334,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,NA,NA,NA,7,0.857142857,NA
1333408,1,1333408,13334,18479,0,1,0,13,7,0,1,-1,0.285714286,0.142857143,0,2,8,13334,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,0.285714286,0.142857143,0.142857143,7,0.857142857,0
1333409,1,1333409,13334,18479,0,1,0,13,7,0,9,NA,NaN,NaN,0,1,9,13334,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,NA,NA,NA,7,0.857142857,NA
1333410,1,1333410,13334,18479,0,1,0,13,7,0,5,0,0,0.142857143,0,1,10,13334,2,2,2,2,1,0,1.03,1,0,0,0.42,0.45,0,1,0.380952381,582.1428571,0,0.142857143,0,7,0.857142857,0
