"matchid_playerid","playerid","matchid","matchDate","matchSetting1Label","matchSetting3Label","competitionLabel","competition","timeUncertaintyLabel","timeUncertainty","supportLabel","support","nRound","nConnected","settingsNum","date.time","competitive.level","replay","port","testID","consumableKey","votationType","organizationalStructure","toleranceLabel","tolerance","Q1_1","Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14_1","Q15_1","Q16_1","Q17_1","Q18_1","ToA_Calculated","Q1_2","Q2_2","Q3_2","Q4_2","Q5_2","Q6_2","Q7_2","Q8_2","Q9_2","Q10_2"
"10004-18d91ff9-7859-4fc4-98fa-d269d846440e","18d91ff9-7859-4fc4-98fa-d269d846440e",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,1,1,4,2,1,3,1,2,2,3,3,3,24,0,0,1,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-18f55cfd-0ac0-4689-98b5-339983a03a4e","18f55cfd-0ac0-4689-98b5-339983a03a4e",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,2,1,2,0,1,2,1,0,3,2,0,1,21,2,0,1,1,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-39918e48-d300-4777-8340-7aada7d72ed9","39918e48-d300-4777-8340-7aada7d72ed9",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-4a29c6bb-f7f0-454c-b9d3-aa542d4ea6fd","4a29c6bb-f7f0-454c-b9d3-aa542d4ea6fd",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,0,1,2,3,4,3,2,1,0,1,2,3,20,1,2,0,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-579ca189-0784-4ffc-baf8-0f60710b10e2","579ca189-0784-4ffc-baf8-0f60710b10e2",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,1,0,1,2,1,1,2,0,1,1,2,0,26,0,4,1,1,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-631af95d-635d-430c-992d-0b6c0ade4977","631af95d-635d-430c-992d-0b6c0ade4977",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,2,1,0,2,1,3,1,0,2,1,0,2,21,0,0,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-e85ad2bb-095e-4665-9ca1-0234596335d0","e85ad2bb-095e-4665-9ca1-0234596335d0",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,0,2,2,2,2,2,2,2,2,2,2,2,20,0,0,1,1,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-3a330a51-4027-4735-bb29-f5d1e6187131","3a330a51-4027-4735-bb29-f5d1e6187131",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-7a1bdc06-178d-4f31-980c-b1c3f09e5501","7a1bdc06-178d-4f31-980c-b1c3f09e5501",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,2,2,2,2,2,2,2,2,2,2,2,22,1,5,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-8613d3ec-5774-47ed-8ef3-6129af7458b3","8613d3ec-5774-47ed-8ef3-6129af7458b3",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
