"matchid_playerid","playerid","matchid","settingsNum","matchDate","matchSetting1Label","matchSetting3Label","competitionLabel","competition","timeUncertaintyLabel","timeUncertainty","supportLabel","support","nRound","nConnected","date.time","competitive.level","replay","port","testID","consumableKey","votationType","organizationalStructure","toleranceLabel","tolerance","Q1_1","Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14_1","Q15_1","Q16_1","Q17_1","Q18_1","ToA_Calculated","Q1_2","Q2_2","Q3_2","Q4_2","Q5_2","Q6_2","Q7_2","Q8_2","Q9_2","Q10_2"
"13334-26e8840b-8051-4ed0-adc2-0b818d53eaa8","26e8840b-8051-4ed0-adc2-0b818d53eaa8",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,3,3,4,3,3,3,2,4,3,3,3,3,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-520aa647-eb6e-4c7f-bb7c-141ef03b34e7","520aa647-eb6e-4c7f-bb7c-141ef03b34e7",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,3,3,4,3,3,NA,4,4,4,3,4,34,1,4,1,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-54cf7692-caa4-419d-9ed3-6a765efae61f","54cf7692-caa4-419d-9ed3-6a765efae61f",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-565ac31a-ebfe-48f2-9ed0-576aab5a1c50","565ac31a-ebfe-48f2-9ed0-576aab5a1c50",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-67486751-4411-403f-9b8c-da936e274a3c","67486751-4411-403f-9b8c-da936e274a3c",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,1,2,1,2,4,3,1,2,3,0,4,1,22,1,4,1,1,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-6fabac7e-cfe6-4b5d-a275-f84700138bbc","6fabac7e-cfe6-4b5d-a275-f84700138bbc",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,3,3,3,3,2,2,3,4,4,3,3,2,1,4,0,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13334-c9d44c95-548b-493a-b857-fbb64235421a","c9d44c95-548b-493a-b857-fbb64235421a",13334,1,2020-08-05,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,13,7,"2020-08-05 19:48:22",1,"False",7000,573594,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-389da6d5-aec2-4571-862c-9da5a4b2a5dc","389da6d5-aec2-4571-862c-9da5a4b2a5dc",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,3,2,4,3,3,0,3,4,3,3,3,4,20,0,2,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-691fd20b-0712-4b01-87ad-ffca9477d8f6","691fd20b-0712-4b01-87ad-ffca9477d8f6",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,0,0,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-9de655a8-3525-4b0a-8b39-dc8adb38f750","9de655a8-3525-4b0a-8b39-dc8adb38f750",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-a0a802d7-648b-4314-84bb-62db4aea388c","a0a802d7-648b-4314-84bb-62db4aea388c",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-de4d300f-ad49-4e8c-ab60-c10f520d263f","de4d300f-ad49-4e8c-ab60-c10f520d263f",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,2,1,2,2,2,2,2,2,2,2,2,2,27,1,4,1,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-ea317c66-59c5-4c5c-9356-c0515e277009","ea317c66-59c5-4c5c-9356-c0515e277009",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,3,3,3,2,2,3,4,3,2,3,3,23,3,4,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13335-f3cee067-ef35-4f85-a1ce-abdb1eccd155","f3cee067-ef35-4f85-a1ce-abdb1eccd155",13335,1,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,5,7,"2020-08-06 04:13:19",1,"False",7001,573783,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,2,2,3,3,3,1,2,4,4,3,1,1,20,0,2,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-00eae6bc-bb60-42e9-a040-fbba471599a9","00eae6bc-bb60-42e9-a040-fbba471599a9",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,4,4,1,4,4,4,4,4,4,4,4,4,23,0,0,1,1,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-2c88bf5d-8db3-4dd5-a604-e32465d48b8d","2c88bf5d-8db3-4dd5-a604-e32465d48b8d",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,3,4,3,4,3,4,4,2,4,3,3,4,22,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-724e51bb-cac5-444b-a88f-9ac8d9f616b1","724e51bb-cac5-444b-a88f-9ac8d9f616b1",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,3,4,3,4,3,3,4,2,3,2,3,3,22,0,4,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-7a475cf0-884e-42b7-8007-2d6520dc387f","7a475cf0-884e-42b7-8007-2d6520dc387f",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,3,3,4,2,4,3,4,3,4,4,4,4,22,3,5,1,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-8f23ca44-4410-4be4-84f4-a4615756f59d","8f23ca44-4410-4be4-84f4-a4615756f59d",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,4,4,4,4,4,2,2,3,3,4,3,3,60,0,3,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13340-da70150b-4b25-4ab5-82cd-716d66c62c98","da70150b-4b25-4ab5-82cd-716d66c62c98",13340,2,2020-08-06,"6","HighToleranceHighTransformational","None",0,"True",1,"HighStatus_HighLegitimacy",0,9,7,"2020-08-05 21:18:24",1,"False",7006,573630,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
