StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q20,Q21,Q22,Q23,Q23_18_TEXT,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32_1,Q32_2,Q32_3,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking the below, you consent to participate in this
experiment.","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 1. Extraverted, enthusiastic","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 2. Critical, quarrelsome","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 3. Dependable, self-disciplined","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 4. Anxious, easily upset","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 5. Open to new experiences, complex","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 6. Reserved, quiet","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 7. Sympathetic, warm","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 8. Disorganized, careless","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 9. Calm, emotionally stable","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 10. Conventional, uncreative","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 11.	Some groups of people are simply inferior to other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 12.	In getting what you want, it is sometimes necessary to use force against other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 13.	It's okay if some groups have more of a chance in life than others.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 14.	To get ahead in life, it is sometimes necessary to step on other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 15.	If certain groups stayed in their place, we would have fewer problems.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 16.	It's probably a good thing that certain groups are at the top and other groups are at the bottom.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 17.	Inferior groups should stay in their place.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 18.	Sometimes other groups must be kept in their place.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 19.	It would be good if groups could be equal.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 20.	Group equality should be our ideal.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 21.	All groups should be given an equal chance in life.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 22.	We should do what we can to equalize conditions for different groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 23.	Increased social equality.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 24.	We would have fewer problems if we treated people more equally.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 25.	We should strive to make incomes as equal as possible.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 26.	No one group should dominate in society.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 27. It bothers me when other people neglect my needs.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 28.	When making a decision, I take other people's needs and feelings into account.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 29.	I'm not especially sensitive to other people's feelings.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 30.	I don't consider myself to be a particularly helpful person.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 31.	I believe people should go out of their way to be helpful.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 32.	I don't especially enjoy giving others aid.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 33.	I expect people I know to be responsive to my needs and feelings.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 34.	I often go out of my way to help another person.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 35.	I believe it's best not to get involved in taking care of other people's personal needs.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 36.	I'm not the sort of person who often comes to the aid of others.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 37.	When I have a need, I turn to others I know for help.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 38.	When people get emotionally upset, I tend to avoid them.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 39.	People should keep their troubles to themselves.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 40.	When I have a need that others ignore, I'm hurt.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 41.	I'd rather depend on myself than others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 42.	I rely on myself most of the time; I rarely rely on others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 43.	I often do ""my own thing.""","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 44.	My personal identity, independent of others, is very important to me.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 45.	It is important that I do my job better than others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 46. Winning is everything.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 47.	Competition is the law of nature.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 48.	When another person does better than I do, I get tense and aroused.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 49.	If a coworker gets a prize, I would feel proud.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 50.	The well-being of my coworkers is important to me.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 51.	To me, pleasure is spending time with others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 52.	I feel good when I cooperate with others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 53.	Parents and children must stay together as much as possible.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 54. It is my duty to take care of my family, even when I have to sacrifice what I want.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 55. Family members should stick together, no matter what sacrifices are required.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 56.	It is important to me that I respect the decisions made by my groups.",Age:,Gender:,3.       What is the highest level of education you completed? (with different country edits),Do you currently have a job?,"In total, how many hours a week do you typically
work?","Do you primarily work for an employer or for
yourself?","From the provided list, please select your
primary occupation category:","Please select the category that best explains
your situation: - Selected Choice","Please select the category that best explains
your situation: - Other, please list - Text","US RESPONDENTS ONLY

What is your total annual HOUSEHOLD income, before taxes?","MOROCCO RESPONDENTS ONLY

What is your total annual HOUSEHOLD income, before taxes?","PHILIPPINES RESPONDENTS ONLY

What is your total annual HOUSEHOLD income, before taxes?",Which one of these phrases comes closest to your own feelings about your household's income these days?,What is your religious preference? - Selected Choice,What is your religious preference? - Other (Write in:) - Text,How frequently do you attend religious services?,"Including yourself, how many adults, 18 years of
age or older, live in your household?","Including yourself, how many children, 17 years
of age or younger, live in your household?",What is your current marital status?,"Overall, about how many friends would you
say you have? Friends can be part of your family or be outside of your family.",Where you born in this country?,Did you move to this country within the last five years?,In which country were you born?,"How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Smart phone","How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Computer (desktop or laptop)","How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Tablet (e.g., iPad or other tablet device)",Where do you primarily access the Internet?,"In a typical day, how many hours do you spend on
the Internet? This can include work, internet games, emailing, social
networking, and shopping","Do you participate in any social networks like
Facebook, Twitter, or Instagram?","How many people do you interact with via social
media? You can include friends, people who follow you, etc. Just a total number
please","In a typical day, how many hours do you spend on
social media?","Have you ever participated in an on-line
research experiment before?",Do we have permission to occasionally send survey invitations and reminders to your mobile phone number using text messages?,What mobile phone number should we send text messages to?
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_14""}","{""ImportId"":""QID2_15""}","{""ImportId"":""QID2_16""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}"
2017-06-08 06:17:43,2017-06-08 06:17:43,Survey Test,,100,0,True,2017-06-08 06:17:43,R_6neT3ef3Mys02Y5,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Neither positive nor negative,Positive,Slightly positive,Slightly positive,Negative,Slightly negative,Positive,Slightly positive,Neither positive nor negative,Slightly negative,Negative,Very negative,Slightly negative,Very negative,Negative,Very positive,2,6,2,6,Extremely characteristic of me (7),5,2,Extremely uncharacteristic of me (1),3,3,Extremely uncharacteristic of me (1),5,3,Extremely characteristic of me (7),7,8,6,Always or definitely yes (9),5,5,4,6,3,2,7,8,8,3,5,5,31,Female,Elementary school,Yes,1,Work for an employer,Managerial,,,"$120,000-$179,999 per year",249 MAD or less,"1,501 – 3,000 pesos",Finding it very difficult on present income,Other Christian Religion,,Weekly (at least once a week),81,72,"Domestic partnership/Living with partner ",49980,"Yes, born in this country",,,7 days,5 days,Less than once a week,Other,12,Yes,43504,2,Yes,No,
2017-06-08 06:17:42,2017-06-08 06:17:43,Survey Test,,100,1,True,2017-06-08 06:17:43,R_8GQlqppZ8XA1XCt,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Disagree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree strongly,Agree a little,Negative,Very positive,Very negative,Slightly negative,Positive,Positive,Very negative,Neither positive nor negative,Slightly negative,Neither positive nor negative,Negative,Very negative,Very negative,Negative,Very negative,Slightly negative,Extremely uncharacteristic of me (1),5,3,Extremely characteristic of me (7),3,Extremely characteristic of me (7),5,2,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,6,5,4,Always or definitely yes (9),5,Never or definitely no (1),7,8,6,8,Never or definitely no (1),8,4,3,5,3,5,4,4,119,Other,Elementary school,Yes,2,Self-employed,Sales or retail,,,"$180,000-$239,999 per year","2,000 - 2,999 MAD","7,501 – 10,000 pesos",Finding it difficult on present income,Roman Catholic,,Annually (at least once a year),19,64,Married,71388,"Yes, born in this country",,,7 days,Never,Never,Other,17,Yes,23534,5,No,Yes,9
2017-06-08 06:17:44,2017-06-08 06:17:44,Survey Test,,100,0,True,2017-06-08 06:17:44,R_6Wk5cBgJR684YpT,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Neither agree nor disagree,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Disagree moderately,Neither agree nor disagree,Agree strongly,Agree moderately,Very negative,Very positive,Negative,Neither positive nor negative,Slightly positive,Positive,Very positive,Positive,Very positive,Positive,Negative,Slightly positive,Very positive,Positive,Slightly negative,Slightly negative,2,2,5,4,4,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,Extremely uncharacteristic of me (1),3,2,4,6,6,5,7,2,Always or definitely yes (9),Always or definitely yes (9),2,2,8,Always or definitely yes (9),8,4,4,6,5,8,7,119,Prefer not to answer,College degree,No,,,,Unemployed,,"Less than $6,000 per year",249 MAD or less,"4,001 – 5,000 pesos",Getting by on present income,Mormon/Latter-Day Saints,,Annually (at least once a year),8,11,Widowed,14905,"No, not born in this country",No,Dapibus ipsum enim a metus vel consequat felis mi pretium laoreet vulputate iaculis molestie.,2 days,Never,5 days,On a computer or tablet at home,11,Yes,45058,24,Yes,No,
2017-06-08 06:17:43,2017-06-08 06:17:43,Survey Test,,100,0,True,2017-06-08 06:17:43,R_79vLAEQHXPGhe5L,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Agree a little,Disagree strongly,Disagree a little,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree moderately,Disagree strongly,Very positive,Very positive,Neither positive nor negative,Very positive,Slightly negative,Positive,Very negative,Very negative,Very negative,Very positive,Positive,Neither positive nor negative,Very negative,Positive,Slightly positive,Negative,2,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),4,Extremely uncharacteristic of me (1),2,2,Extremely characteristic of me (7),3,Extremely characteristic of me (7),3,3,Extremely uncharacteristic of me (1),2,Always or definitely yes (9),3,7,3,2,Always or definitely yes (9),5,6,3,Always or definitely yes (9),6,Always or definitely yes (9),3,3,Always or definitely yes (9),6,83,Prefer not to answer,None,No,,,,Student,,"Less than $6,000 per year","20,000 - 24,999 MAD","4,001 – 5,000 pesos",Finding it very difficult on present income,Buddhism,,Do not regularly attend religious services,69,79,Divorced,68599,"Yes, born in this country",,,1 day,7 days,3 days,On a mobile device,5,Yes,98183,22,No,Yes,4
2017-06-08 06:17:43,2017-06-08 06:17:43,Survey Test,,100,0,True,2017-06-08 06:17:43,R_a8AaCneoHwaIDgp,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree moderately,Agree a little,Disagree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Negative,Positive,Positive,Very positive,Slightly positive,Neither positive nor negative,Very positive,Negative,Slightly positive,Neither positive nor negative,Very positive,Negative,Slightly positive,Slightly negative,Positive,Slightly positive,5,6,Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),6,4,Extremely characteristic of me (7),3,2,Extremely characteristic of me (7),3,2,3,3,8,3,5,4,5,5,Never or definitely no (1),6,Always or definitely yes (9),2,6,2,Always or definitely yes (9),Never or definitely no (1),31,Female,Post-graduate degree,No,,,,Disabled,,"$48,000-$59,999 per year",(Does NOT know household income),"1,501 – 3,000 pesos",Finding it very difficult on present income,Buddhism,,Weekly (at least once a week),86,7,"Domestic partnership/Living with partner ",74206,"Yes, born in this country",,,4 days,6 days,6 days,On a mobile device,4,No,,,No,Yes,9
2017-06-08 06:17:43,2017-06-08 06:17:44,Survey Test,,100,1,True,2017-06-08 06:17:44,R_7UqDbfpqxQ1OPmR,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Disagree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Slightly negative,Very negative,Negative,Very negative,Neither positive nor negative,Very positive,Very negative,Very positive,Very negative,Negative,Very negative,Slightly positive,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Slightly positive,5,4,3,Extremely characteristic of me (7),5,Extremely characteristic of me (7),6,2,6,3,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),3,3,7,6,2,3,4,8,8,5,8,Never or definitely no (1),5,Always or definitely yes (9),8,6,5,2,133,Prefer not to answer,Elementary school,Yes,8,Work for an employer,Other,,,"$240,000 or more per year",249 MAD or less,"4,001 – 5,000 pesos",Finding it very difficult on present income,Islam/Muslim (Shiite),,Do not regularly attend religious services,25,49,Divorced,93863,"Yes, born in this country",,,Less than once a week,7 days,7 days,"On a computer or tablet at a public place (e.g., library)",19,Yes,71537,12,Yes,No,
2017-06-08 06:17:45,2017-06-08 06:17:45,Survey Test,,100,0,True,2017-06-08 06:17:45,R_5BbXaywNSPk3iiF,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neither positive nor negative,Neither positive nor negative,Negative,Very negative,Neither positive nor negative,Positive,Positive,Slightly negative,Very negative,Very negative,Very positive,Slightly negative,Neither positive nor negative,Slightly positive,Negative,Negative,Extremely characteristic of me (7),4,6,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),6,6,3,4,3,2,Extremely uncharacteristic of me (1),3,6,Always or definitely yes (9),Never or definitely no (1),7,4,4,4,6,Never or definitely no (1),7,Never or definitely no (1),6,Always or definitely yes (9),Always or definitely yes (9),5,Never or definitely no (1),4,131,Male,None,No,,,,Disabled,,"$180,000-$239,999 per year",250 - 499 MAD,"701 – 1,500 pesos",Finding it difficult on present income,Roman Catholic,,Monthly (at least once a month),31,47,Married,98204,"Yes, born in this country",,,5 days,4 days,4 days,On a computer or tablet at home,22,Yes,65845,21,Yes,Yes,0
2017-06-08 06:17:45,2017-06-08 06:17:45,Survey Test,,100,0,True,2017-06-08 06:17:45,R_9RDu5rF00ykznq5,,,,,45.654907226562,-94.084396362305,test,,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Very negative,Very negative,Very positive,Positive,Neither positive nor negative,Very positive,Negative,Negative,Positive,Very positive,Slightly negative,Positive,Positive,Neither positive nor negative,Slightly negative,Negative,6,Extremely characteristic of me (7),6,5,3,3,4,6,6,2,6,Extremely characteristic of me (7),2,3,4,3,8,2,6,2,6,8,5,4,4,4,6,3,3,4,55,Prefer not to answer,Elementary school,No,,,,Retired,,"$90,000-$119,999 per year",(Does NOT know household income),"1,501 – 3,000 pesos",Living comfortably on present income,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Do not regularly attend religious services,59,93,Divorced,39788,"Yes, born in this country",,,Less than once a week,4 days,7 days,On a computer or tablet at home,23,No,,,Yes,Yes,3
