StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q8,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q19_18_TEXT,Q20,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"By clicking the below, you consent to participate in this
experiment.","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 1. Extraverted, enthusiastic","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 2. Critical, quarrelsome","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 3. Dependable, self-disciplined","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 4. Anxious, easily upset","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 5. Open to new experiences, complex","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 6. Reserved, quiet","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 7. Sympathetic, warm","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 8. Disorganized, careless","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 9. Calm, emotionally stable","Here are some personality traits that may or may not
describe you. Please indicate whether you agree or disagree that the statement
describes you. Please use the seven-point scale to rate each statement from 1 disagree to 7 agree strongly. You should rate how much the pair of traits applies to you, even
if one characteristic applies more strongly than the other one.
I see myself as: - 10. Conventional, uncreative","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 11.	Some groups of people are simply inferior to other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 12.	In getting what you want, it is sometimes necessary to use force against other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 13.	It's okay if some groups have more of a chance in life than others.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 14.	To get ahead in life, it is sometimes necessary to step on other groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 15.	If certain groups stayed in their place, we would have fewer problems.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 16.	It's probably a good thing that certain groups are at the top and other groups are at the bottom.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 17.	Inferior groups should stay in their place.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 18.	Sometimes other groups must be kept in their place.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 19.	It would be good if groups could be equal.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 20.	Group equality should be our ideal.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 21.	All groups should be given an equal chance in life.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 22.	We should do what we can to equalize conditions for different groups.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 23.	Increased social equality.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 24.	We would have fewer problems if we treated people more equally.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 25.	We should strive to make incomes as equal as possible.","Please read
the following statements and imagine they were stated by a person you do not
know. For each statement, please use the seven point scale to indicate how you
would feel about the person saying it. Please rate each statement from 1 very
negative to 7 very positive. 
I would feel: - 26.	No one group should dominate in society.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 27. It bothers me when other people neglect my needs.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 28.	When making a decision, I take other people's needs and feelings into account.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 29.	I'm not especially sensitive to other people's feelings.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 30.	I don't consider myself to be a particularly helpful person.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 31.	I believe people should go out of their way to be helpful.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 32.	I don't especially enjoy giving others aid.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 33.	I expect people I know to be responsive to my needs and feelings.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 34.	I often go out of my way to help another person.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 35.	I believe it's best not to get involved in taking care of other people's personal needs.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 36.	I'm not the sort of person who often comes to the aid of others.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 37.	When I have a need, I turn to others I know for help.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 38.	When people get emotionally upset, I tend to avoid them.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 39.	People should keep their troubles to themselves.","For each of the following statements, please identify how
characteristic it is of you. Rate each statement from 1 –extremely uncharacteristic of me
to 7 – extremely characteristic of me. You can select any response between 1 and 7. - 40.	When I have a need that others ignore, I'm hurt.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 41.	I'd rather depend on myself than others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 42.	I rely on myself most of the time; I rarely rely on others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 43.	I often do ""my own thing.""","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 44.	My personal identity, independent of others, is very important to me.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 45.	It is important that I do my job better than others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 46. Winning is everything.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 47.	Competition is the law of nature.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 48.	When another person does better than I do, I get tense and aroused.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 49.	If a coworker gets a prize, I would feel proud.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 50.	The well-being of my coworkers is important to me.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 51.	To me, pleasure is spending time with others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 52.	I feel good when I cooperate with others.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 53.	Parents and children must stay together as much as possible.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 54. It is my duty to take care of my family, even when I have to sacrifice what I want.","Please indicate how well each of the following statements
describes you.  Rate each from 1 – never
or definitely no to 9 – always or definitely yes. You can select any response between 1 and 9. - 55.	Family members should stick together, no matter what sacrifices are required.",Age:,Gender:,3.       What is the highest level of education you completed? (with different country edits),Do you currently have a job?,"In total, how many hours a week do you typically
work?","Do you primarily work for an employer or for
yourself?","From the provided list, please select your
primary occupation category:","Please select the category that best explains
your situation: - Selected Choice","Please select the category that best explains
your situation: - Other, please list - Text",What is your religious preference? - Selected Choice,What is your religious preference? - Other (Write in:) - Text,How frequently do you attend religious services?,"Including yourself, how many adults, 18 years of
age or older, live in your household?","Including yourself, how many children, 17 years
of age or younger, live in your household?",What is your current marital status?,"Overall, about how many friends would you
say you have? Friends can be part of your family or be outside of your family.",Where you born in this country?,"How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Smart phone","How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Computer (desktop or laptop)","How many days per week do you use the internet on
each of the following devices (if you do not have one of the devices, select “never”)? - Tablet (e.g., iPad or other tablet device)",Where do you primarily access the Internet?,"In a typical day, how many hours do you spend on
the Internet? This can include work, internet games, emailing, social
networking, and shopping","Do you participate in any social networks like
Facebook, Twitter, or Instagram?","How many people do you interact with via social
media? You can include friends, people who follow you, etc. Just a total number
please","In a typical day, how many hours do you spend on
social media?","Have you ever participated in an on-line
research experiment before?",Do we have permission to occasionally send survey invitations and reminders to your mobile phone number using text messages?,What mobile phone number should we send text messages to?
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID8""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_14""}","{""ImportId"":""QID2_15""}","{""ImportId"":""QID2_16""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}"
2017-05-22 13:03:00,2017-05-22 13:03:55,Survey Preview,,100,55,True,2017-05-22 13:03:57,R_248gXTPJITksWSd,,,,,45.488403320312,-94.232398986816,preview,I consent to participate in this experiment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-24 08:14:23,2017-05-24 08:14:24,Survey Test,,100,1,True,2017-05-24 08:14:24,R_cBHrzi24X4vDde5,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree a little,Positive,Neither positive nor negative,Negative,Neither positive nor negative,Positive,Very positive,Negative,Positive,Very negative,Very positive,Positive,Very negative,Negative,Negative,Negative,Very negative,2,6,3,5,6,6,2,5,4,6,5,3,5,6,2,5,5,2,7,8,8,4,2,2,8,8,6,8,7,88,Female,College degree,No,,,,"Other, please list",Felis imperdiet volutpat! Tempor felis eleifend iaculis eros metus ligula pretium rhoncus. Iaculis.,No Religion/Atheist/Agnostic,,,48,10,Divorced,52461,"No, not born in this country",2 days,3 days,4 days,On a computer or tablet at school,13,Yes,956,19,Yes,Yes,12
2017-05-24 08:14:24,2017-05-24 08:14:24,Survey Test,,100,0,True,2017-05-24 08:14:24,R_cZSmftvqHlTdeWF,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Neither agree nor disagree,Disagree strongly,Disagree a little,Disagree strongly,Very negative,Positive,Negative,Positive,Very negative,Slightly positive,Negative,Slightly negative,Very positive,Very positive,Slightly negative,Positive,Positive,Very positive,Very negative,Very positive,3,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),5,5,2,3,Extremely characteristic of me (7),5,Extremely characteristic of me (7),5,5,8,3,2,4,6,2,4,5,8,7,4,Never or definitely no (1),6,123,Other,College degree,Yes,14,Self-employed,Military,,,Other Non-Christian Religion,,Do not regularly attend religious services,38,37,Widowed,39296,"Yes, born in this country",3 days,5 days,2 days,On a computer or tablet at home,13,Yes,97500,18,No,No,
2017-05-24 08:14:25,2017-05-24 08:14:25,Survey Test,,100,0,True,2017-05-24 08:14:25,R_7UPfvK2dULE8GFv,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree a little,Agree moderately,Neither positive nor negative,Slightly negative,Neither positive nor negative,Slightly negative,Positive,Very negative,Positive,Very negative,Slightly negative,Negative,Slightly positive,Slightly positive,Neither positive nor negative,Slightly negative,Slightly negative,Very negative,5,6,Extremely characteristic of me (7),3,2,4,2,6,3,3,2,3,2,3,Always or definitely yes (9),4,Never or definitely no (1),3,3,8,3,7,Never or definitely no (1),6,2,5,8,3,5,15,Prefer not to answer,Elementary school,No,,,,Unemployed,,Buddhism,,Monthly (at least once a month),33,9,"Domestic partnership/Living with partner ",24953,"No, not born in this country",6 days,2 days,2 days,On a computer or tablet at home,23,No,,,Yes,Yes,11
2017-05-24 08:14:25,2017-05-24 08:14:26,Survey Test,,100,1,True,2017-05-24 08:14:26,R_3gxu8HykmnLAWlD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Disagree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree a little,Negative,Negative,Very positive,Slightly negative,Very positive,Slightly positive,Very positive,Slightly positive,Positive,Very positive,Slightly positive,Neither positive nor negative,Positive,Slightly negative,Positive,Slightly negative,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,2,4,2,3,3,6,3,Extremely uncharacteristic of me (1),Always or definitely yes (9),7,7,Never or definitely no (1),Always or definitely yes (9),6,7,4,8,2,8,3,Never or definitely no (1),6,2,107,Prefer not to answer,Some college,No,,,,Retired,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Annually (at least once a year),60,67,Married,30586,"Yes, born in this country",Less than once a week,5 days,3 days,On a computer or tablet at school,21,Yes,88777,11,No,No,
2017-05-24 08:14:26,2017-05-24 08:14:26,Survey Test,,100,0,True,2017-05-24 08:14:26,R_7X36twL9wI4hpuR,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree strongly,Slightly positive,Very negative,Very negative,Slightly positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Slightly negative,Neither positive nor negative,Negative,Positive,Neither positive nor negative,Positive,Negative,Very negative,Very negative,3,3,3,4,5,5,6,6,4,4,Extremely characteristic of me (7),5,4,Extremely uncharacteristic of me (1),6,Never or definitely no (1),Always or definitely yes (9),Never or definitely no (1),6,7,5,3,8,Always or definitely yes (9),4,Never or definitely no (1),Always or definitely yes (9),7,4,18,Male,High school,No,,,,Disabled,,Muslim/Islam,,Weekly (at least once a week),66,97,Widowed,29709,"Yes, born in this country",4 days,1 day,Less than once a week,Other,24,Yes,81211,0,No,Yes,14
2017-05-24 08:14:26,2017-05-24 08:14:26,Survey Test,,100,0,True,2017-05-24 08:14:27,R_cwDrDAN4HKAVtM9,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Agree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree moderately,Agree a little,Disagree moderately,Slightly positive,Slightly negative,Neither positive nor negative,Slightly negative,Very positive,Slightly negative,Slightly positive,Slightly negative,Negative,Very positive,Very negative,Slightly negative,Positive,Slightly negative,Positive,Very negative,4,Extremely characteristic of me (7),3,6,Extremely uncharacteristic of me (1),5,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),3,Extremely characteristic of me (7),4,5,2,8,3,Always or definitely yes (9),Never or definitely no (1),Always or definitely yes (9),4,4,2,5,5,7,4,5,3,7,72,Male,College degree,No,,,,Unemployed,,Other Christian Religion,,Annually (at least once a year),9,6,Single/Never been married,67628,"No, not born in this country",4 days,2 days,2 days,Other,14,No,,,Yes,Yes,13
2017-05-24 08:14:27,2017-05-24 08:14:27,Survey Test,,100,0,True,2017-05-24 08:14:27,R_4HZDHEzTR51Hmi9,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Very positive,Positive,Very negative,Very negative,Neither positive nor negative,Slightly negative,Positive,Neither positive nor negative,Very positive,Negative,Very negative,Slightly negative,Very positive,Neither positive nor negative,Slightly positive,Negative,Extremely uncharacteristic of me (1),5,6,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),4,2,Extremely uncharacteristic of me (1),5,3,Extremely characteristic of me (7),2,6,6,3,7,Always or definitely yes (9),5,6,2,4,5,Never or definitely no (1),5,6,7,Never or definitely no (1),8,149,Other,None,No,,,,Retired,,Other Non-Christian Religion,,Do not regularly attend religious services,15,58,Single/Never been married,64929,"No, not born in this country",Less than once a week,Never,7 days,"On a computer or tablet at a public place (e.g., library)",16,Yes,61661,15,No,No,
