label,verbose
Q8,Q8_consent
Q1_1,Q1_1_extrovert
Q1_2,Q1_2_critical
Q1_3,Q1_3_dependable
Q1_4,Q1_4_anxious
Q1_5,Q1_5_open
Q1_6,Q1_6_reserved
Q1_7,Q1_7_sympathetic
Q1_8,Q1_8_disorganized
Q1_9,Q1_9_calm
Q1_10,Q1_10_conventional
Q2_1,Q2_1_group_inferiority
Q2_2,Q2_2_use_force
Q2_3,Q2_3_more_chances
Q2_4,Q2_4_step_on
Q2_5,Q2_5_stay_place
Q2_6,Q2_6_top_bottom
Q2_7,Q2_7_inferior
Q2_8,Q2_8_kept_place
Q2_9,Q2_9_equal
Q2_10,Q2_10_equality_ideal
Q2_11,Q2_11_equal_chance
Q2_12,Q2_12_equalize_conditions
Q2_13,Q2_13_social_equality
Q2_14,Q2_14_fewer_problems
Q2_15,Q2_15_incomes_equal
Q2_16,Q2_16_no_dominate
Q3_1,Q3_1_neglect_needs
Q3_2,Q3_2_others_needs
Q3_3,Q3_3_sensitive_feelings
Q3_4,Q3_4_not_helpful
Q3_5,Q3_5_be_helpful
Q3_6,Q3_6_no_aid
Q3_7,Q3_7_be_responsive
Q3_8,Q3_8_help_others
Q3_9,Q3_9_no_involvement
Q3_10,Q3_10_no_help_others
Q3_11,Q3_11_turn_to_others
Q3_12,Q3_12_emotion_avoid
Q3_13,Q3_13_trouble_themselves
Q3_14,Q3_14_ignored_hurt
Q4_1,Q4_1_depend_on_self
Q4_2,Q4_2_rely_on_self
Q4_3,Q4_3_do_own_thing
Q4_4,Q4_4_personal_identity_important
Q4_5,Q4_5_do_job_better
Q4_6,Q4_6_winning_everything
Q4_7,Q4_7_competition_nature
Q4_8,Q4_8_others_better_tense
Q4_9,Q4_9_coworker_prize_proud
Q4_10,Q4_10_coworker_wellbeing
Q4_11,Q4_11_spend_time_others
Q4_12,Q4_12_good_cooperate_others
Q4_13,Q4_13_family_together
Q4_14,Q4_14_care_family_duty
Q4_15,Q4_15_family_stick_together
Q11,Q11_age
Q12,Q12_gender
Q13,Q13_education
Q14,Q14_job
Q15,Q15_total_hours
Q16,Q16_employer_selfemployed
Q17,Q17_occupation
Q18,Q18_employ_situation
Q18_6_TEXT,Q18_employ_situation_text
Q19,Q19_religion
Q19_18_TEXT,Q19_religion_text
Q20,Q20_religion_freq
Q22,Q22_adult_hh_num
Q23,Q23_child_hh_num
Q24,Q24_marital_status
Q25,Q25_friends_num
Q26,Q26_born_in_country
Q27_1,Q27_1_smartphone
Q27_2,Q27_2_computer
Q27_3,Q27_3_tablet
Q28,Q28_internet_where
Q29,Q29_internet_hours_day
Q30,Q30_social_networks
Q31,Q31_social_media_people_num
Q32,Q32_social_media_hours_day
Q33,Q33_online_research
Q35,Q35_send_survey_invites
Q36,Q36_mobile_number
