"session","round","playerid","alterid","previouslytie","nowtie","playeraction","alteraction","other_d","action_num","break_tie","make_tie","state","CC","DD","player_empanel_id","alter_empanel_id"
"e1.5_2017-09-06",1,"16hkBHE1","HDIRa6VS",1,1,"C","C",0,0,0,0,"CC",1,0,"4198730040_78419_01","4135951463_78419_01"
"e1.5_2017-09-06",1,"16hkBHE1","S9a33uXU",1,1,"C","C",0,0,0,0,"CC",1,0,"4198730040_78419_01","4191195351_5107_01"
"e1.5_2017-09-06",1,"16hkBHE1","VJyZMbUX",1,0,"C","D",1,1,1,0,"CD",0,0,"4198730040_78419_01","4210177559_78419_01"
"e1.5_2017-09-06",1,"16hkBHE1","ZZXk3eCC",0,1,"C","C",0,1,0,1,"CC",1,0,"4198730040_78419_01","4183007714_78419_01"
"e1.5_2017-09-06",1,"1RCOHcfE","16hkBHE1",1,1,"C","C",0,0,0,0,"CC",1,0,"111400_3992_01","4198730040_78419_01"
"e1.5_2017-09-06",1,"1RCOHcfE","4MEMPAHc",0,1,"C","C",0,1,0,1,"CC",1,0,"111400_3992_01","4148905031_78419_01"
"e1.5_2017-09-06",1,"1RCOHcfE","S9a33uXU",0,1,"C","C",0,1,0,1,"CC",1,0,"111400_3992_01","4191195351_5107_01"
"e1.5_2017-09-06",1,"1RCOHcfE","uaj5qefo",0,1,"C","C",0,1,0,1,"CC",1,0,"111400_3992_01","4209514667_78419_01"
"experiment-1.9-viscous-03_43.csv",1,"1ucCQt8J","dJVfxpxw",1,1,"C","C",0,0,0,0,"CC",1,0,"4135953552_78419_01","4198729964_78419_01"
"e1.2_2017-08-24",1,"2eCW1FlE","8xSP33VT",0,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","063329_S02_02"
"e1.2_2017-08-24",1,"2eCW1FlE","gtw6tUet",1,1,"C","C",0,0,0,0,"CC",1,0,"4142230532_78419_01","1682633998_78419_01"
"e1.2_2017-08-24",1,"2eCW1FlE","Kku9ydao",0,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","113402_3992_01"
"e1.2_2017-08-24",1,"2eCW1FlE","RqcdeZA7",0,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","81614639_23694_01"
"e1.2_2017-08-24",1,"2eCW1FlE","SJ4dRWlS",0,0,"C","C",0,0,0,0,"CC",1,0,"4142230532_78419_01","4098587119_78419_01"
"e1.2_2017-08-24",1,"2eCW1FlE","YsqB1Gnw",0,0,"C","D",1,0,0,0,"CD",0,0,"4142230532_78419_01","070133_S02_01"
"e1.1_2017-09-03",1,"2Jq2iaa0","7MDqjRqy",0,1,"C","C",0,1,0,1,"CC",1,0,"4182985182_78419_01","4142237231_78419_01"
"e1.1_2017-09-03",1,"2Jq2iaa0","GfRDSs32",0,1,"C","C",0,1,0,1,"CC",1,0,"4182985182_78419_01","84031624_23694_01"
"e1.5_2017-09-06",1,"2Ls5Rpdm","L3XqYDJz",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746100_78419_01","008751_S01_HH"
"e1.5_2017-09-06",1,"2Ls5Rpdm","LYgovvuG",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746100_78419_01","028085_S01_HH"
"e1.5_2017-09-06",1,"2Ls5Rpdm","VJyZMbUX",0,1,"C","D",1,1,0,1,"CD",0,0,"4198746100_78419_01","4210177559_78419_01"
"e1.5_2017-09-06",1,"2Ls5Rpdm","Xu1iETkg",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746100_78419_01","4198746872_78419_01"
"e1.5_2017-09-06",1,"2Ls5Rpdm","ZZXk3eCC",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746100_78419_01","4183007714_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","77ZxWPnT",0,1,"C","C",0,1,0,1,"CC",1,0,"4128102259_78419_01","1740626002_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","FlwTRkr7",0,1,"C","C",0,1,0,1,"CC",1,0,"4128102259_78419_01","077404_S02_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","iB4UpCoH",0,0,"C","C",0,0,0,0,"CC",1,0,"4128102259_78419_01","84099320_23694_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","NxR25KvE",0,1,"C","C",0,1,0,1,"CC",1,0,"4128102259_78419_01","4210171130_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","OReMOWzo",1,0,"C","D",1,1,1,0,"CD",0,0,"4128102259_78419_01","4142224906_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","Q9i4RgWN",0,1,"C","C",0,1,0,1,"CC",1,0,"4128102259_78419_01","4014781643_78914_01"
"experiment-1.1-fluid-01_41.csv",1,"3OrzlVz6","v3VOYiPV",0,1,"C","C",0,1,0,1,"CC",1,0,"4128102259_78419_01","1855226703_78419_01"
"e1.5_2017-09-06",1,"4MEMPAHc","VJyZMbUX",1,1,"C","D",1,0,0,0,"CD",0,0,"4148905031_78419_01","4210177559_78419_01"
"e1.5_2017-09-06",1,"4MEMPAHc","ZZXk3eCC",1,1,"C","C",0,0,0,0,"CC",1,0,"4148905031_78419_01","4183007714_78419_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","8xSP33VT",0,1,"C","C",0,1,0,1,"CC",1,0,"1869079206_78419_01","063329_S02_02"
"e1.2_2017-08-24",1,"5Dc9pgMR","gtw6tUet",1,1,"C","C",0,0,0,0,"CC",1,0,"1869079206_78419_01","1682633998_78419_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","Kku9ydao",0,1,"C","C",0,1,0,1,"CC",1,0,"1869079206_78419_01","113402_3992_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","PilybGdJ",0,0,"C","C",0,0,0,0,"CC",1,0,"1869079206_78419_01","4224793505_78419_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","SFeJujX1",0,1,"C","C",0,1,0,1,"CC",1,0,"1869079206_78419_01","4191252744_5107_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","xA3rMUGc",0,1,"C","C",0,1,0,1,"CC",1,0,"1869079206_78419_01","4224782522_78419_01"
"e1.2_2017-08-24",1,"5Dc9pgMR","YsqB1Gnw",0,0,"C","D",1,0,0,0,"CD",0,0,"1869079206_78419_01","070133_S02_01"
"experiment-1.1-fluid-03_43.csv",1,"5mUXA5bH","JYqrE2i9",0,1,"D","C",0,1,0,1,"DC",0,0,"059621_S02_02","144365_3992_01"
"e1.5_2017-09-06",1,"6eq39r0t","16hkBHE1",0,1,"C","C",0,1,0,1,"CC",1,0,"1590401214_78419_01","4198730040_78419_01"
"e1.5_2017-09-06",1,"6eq39r0t","1RCOHcfE",1,1,"C","C",0,0,0,0,"CC",1,0,"1590401214_78419_01","111400_3992_01"
"e1.5_2017-09-06",1,"6eq39r0t","7tq3tbUd",0,1,"C","D",1,1,0,1,"CD",0,0,"1590401214_78419_01","1586698951_78419_01"
"e1.5_2017-09-06",1,"6eq39r0t","ctPYgH2O",0,1,"C","C",0,1,0,1,"CC",1,0,"1590401214_78419_01","4209524955_78419_01"
"e1.5_2017-09-06",1,"6eq39r0t","HDIRa6VS",0,1,"C","C",0,1,0,1,"CC",1,0,"1590401214_78419_01","4135951463_78419_01"
"e1.5_2017-09-06",1,"6eq39r0t","Xu1iETkg",0,1,"C","C",0,1,0,1,"CC",1,0,"1590401214_78419_01","4198746872_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"77ZxWPnT","9zzCwzgh",0,1,"C","C",0,1,0,1,"CC",1,0,"1740626002_78419_01","4183001962_78419_01"
"experiment-1.1-fluid-01_41.csv",1,"77ZxWPnT","NxR25KvE",0,1,"C","C",0,1,0,1,"CC",1,0,"1740626002_78419_01","4210171130_78419_01"
"e1.1_2017-09-03",1,"7MDqjRqy","GfRDSs32",0,1,"C","C",0,1,0,1,"CC",1,0,"4142237231_78419_01","84031624_23694_01"
"e1.1_2017-09-03",1,"7MDqjRqy","HgL5wQXl",0,1,"C","C",0,1,0,1,"CC",1,0,"4142237231_78419_01","4198723823_78419_01"
"e1.1_2017-09-03",1,"7MDqjRqy","jTcyevlw",0,1,"C","C",0,1,0,1,"CC",1,0,"4142237231_78419_01","4083364193_78914_01"
"experiment-1.9-viscous-03_43.csv",1,"7o4oXVjV","lONpXxVX",1,1,"D","C",0,0,0,0,"DC",0,0,"4209509867_78419_01","4198723463_78419_01"
"experiment-1.9-viscous-03_43.csv",1,"7o4oXVjV","srnHGSbb",0,1,"D","C",0,1,0,1,"DC",0,0,"4209509867_78419_01","4205983416_78419_01"
"e1.5_2017-09-06",1,"7tq3tbUd","2Ls5Rpdm",0,1,"D","C",0,1,0,1,"DC",0,0,"1586698951_78419_01","4198746100_78419_01"
"e1.5_2017-09-06",1,"7tq3tbUd","4MEMPAHc",1,1,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","4148905031_78419_01"
"e1.5_2017-09-06",1,"7tq3tbUd","LYgovvuG",0,0,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","028085_S01_HH"
"e1.2_2017-08-24",1,"8xSP33VT","BTEQAhN9",1,1,"C","D",1,0,0,0,"CD",0,0,"063329_S02_02","4141905319_78419_01"
"e1.2_2017-08-24",1,"8xSP33VT","SFeJujX1",0,0,"C","C",0,0,0,0,"CC",1,0,"063329_S02_02","4191252744_5107_01"
